"Format","PiBoSo CSV File"
"Venue","Victoria Circuit"
"Vehicle","Kawasaki Ninja 1000"
"User","D4rw1n"
"Data Source","GP Bikes"
"Comment",""
"Date","04/17/19"
"Time","12:33:53"
"Sample Rate","10"
"Duration","210.499"
"Segment","Session"
"Beacon Markers","14.918, 201.670"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","FrontBrake","RearBrake","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"0.002","4397.502","2081","85.000473","85.000000","0","0.062473","-0.000598","0.002758","-0.000000","0.000000","0.000000","0.000000","100.000000","-0.203743","-215.352386","-172.092590"
"0.101","4397.502","2025","85.035904","85.003372","0","2.860240","0.002130","0.135433","-0.041787","0.000000","0.000000","0.000000","100.000000","0.176481","-215.349579","-172.099289"
"0.200","4397.502","2025","85.066299","85.011971","0","1.196260","-0.006574","0.005081","-0.081708","0.000000","0.000000","0.000000","100.000000","0.157840","-215.344711","-172.114029"
"0.300","4397.502","2025","85.093719","85.024437","0","0.521743","0.004766","0.001458","-0.197746","0.000000","0.000000","0.000000","100.000000","0.115877","-215.344772","-172.114151"
"0.400","4397.502","2025","85.118675","85.039352","0","0.570892","0.003149","0.004274","-0.224939","0.000000","0.000000","0.000000","100.000000","0.027905","-215.346436","-172.109299"
"0.500","4397.502","2025","85.141991","85.055885","0","0.085362","-0.002373","-0.000230","-0.213599","0.000000","0.000000","0.000000","100.000000","0.220527","-215.347198","-172.107132"
"0.601","4397.502","2025","85.164619","85.073891","0","0.077772","0.011832","0.003901","-0.250848","0.000000","0.000000","0.000000","100.000000","0.064249","-215.347168","-172.107208"
"0.701","4397.502","2025","85.186066","85.092293","0","0.035298","0.000993","-0.010230","-0.311682","0.000000","0.000000","0.000000","100.000000","0.081306","-215.347061","-172.107895"
"0.801","4397.502","2025","85.207001","85.111214","0","0.028081","0.011102","-0.000864","-0.399924","0.000000","0.000000","0.000000","100.000000","0.210582","-215.347015","-172.108200"
"0.901","4397.502","2025","85.227615","85.130463","0","0.029566","0.005124","0.003453","-0.529094","0.000000","0.000000","0.000000","100.000000","-0.017533","-215.347153","-172.108154"
"1.001","4397.501","2025","85.248001","85.149940","0","0.003219","0.004787","0.000508","-0.699302","0.000000","0.000000","0.000000","100.000000","0.194069","-215.347366","-172.108231"
"1.101","4397.501","2025","85.268242","85.169571","0","0.027476","0.011852","0.015313","-0.925017","0.000000","0.000000","0.000000","100.000000","0.347993","-215.347534","-172.108337"
"1.201","4397.500","2025","85.288383","85.189301","0","0.086855","-0.019972","0.004653","-1.767210","0.000000","0.000000","0.000000","100.000000","1.773562","-215.349365","-172.108917"
"1.301","4397.498","2025","85.308449","85.209099","0","0.027613","-0.017785","0.002246","-2.977220","0.000000","0.000000","0.000000","100.000000","1.213540","-215.350891","-172.109421"
"1.401","4397.497","2025","85.328476","85.228935","0","0.027558","-0.019859","0.008152","-3.845627","0.000000","0.000000","0.000000","100.000000","0.786362","-215.351868","-172.109833"
"1.501","4397.497","2025","85.348473","85.248810","0","0.027489","-0.015612","-0.007957","-4.306755","0.000000","0.000000","0.000000","100.000000","0.179364","-215.352264","-172.109970"
"1.601","4397.497","2025","85.368446","85.268700","0","0.000751","-0.015287","0.007052","-4.393554","0.000000","0.000000","0.000000","100.000000","-0.061117","-215.352203","-172.110168"
"1.701","4397.497","2025","85.388412","85.288605","0","0.027499","0.001490","0.007369","-4.212550","0.000000","0.000000","0.000000","100.000000","-0.251552","-215.351730","-172.110275"
"1.801","4397.497","2025","85.408363","85.308525","0","0.000376","-0.003306","-0.000429","-3.903737","0.000000","0.000000","0.000000","100.000000","-0.480605","-215.351303","-172.110245"
"1.901","4397.498","2025","85.428307","85.328445","0","0.027504","-0.000174","-0.008053","-3.642388","0.000000","0.000000","0.000000","100.000000","-0.239134","-215.350937","-172.110229"
"2.001","4397.498","2025","85.448250","85.348381","0","0.000000","0.013582","-0.001835","-3.422149","0.000000","0.000000","0.000000","100.000000","-0.323673","-215.350571","-172.110275"
"2.101","4397.498","2025","85.468193","85.368301","0","0.001502","-0.001533","-0.014380","-3.279944","0.000000","0.000000","0.000000","100.000000","0.007693","-215.350479","-172.110352"
"2.201","4397.498","2025","85.488129","85.388237","0","0.003594","0.006014","-0.003181","-3.252025","0.000000","0.000000","0.000000","100.000000","-0.004616","-215.350418","-172.110336"
"2.301","4397.498","2025","85.508064","85.408165","0","0.000966","0.000635","-0.014340","-3.221787","0.000000","0.000000","0.000000","100.000000","-0.121262","-215.350357","-172.110321"
"2.400","4397.498","2025","85.527603","85.427689","0","0.002629","0.001237","-0.013888","-3.245859","0.000000","0.000000","0.000000","100.000000","0.005686","-215.350510","-172.110336"
"2.500","4397.498","2025","85.547539","85.447617","0","0.001180","-0.006063","-0.006630","-3.317306","0.000000","0.000000","0.000000","100.000000","-0.028538","-215.350601","-172.110260"
"2.600","4397.498","2025","85.567467","85.467545","0","0.000590","-0.001626","0.004467","-3.355926","0.000000","0.000000","0.000000","100.000000","-0.157660","-215.350677","-172.110214"
"2.700","4397.498","2025","85.587395","85.487473","0","0.000107","-0.002618","0.000474","-3.392915","0.000000","0.000000","0.000000","100.000000","-0.012214","-215.350739","-172.110168"
"2.800","4397.498","2025","85.607330","85.507401","0","0.000483","0.006619","0.000721","-3.424629","0.000000","0.000000","0.000000","100.000000","0.020107","-215.350754","-172.110199"
"2.900","4397.498","2025","85.627258","85.527328","0","0.001019","0.000493","0.003431","-3.433084","0.000000","0.000000","0.000000","100.000000","0.197227","-215.350800","-172.110168"
"3.000","4397.498","2025","85.647186","85.547256","0","0.001073","0.001835","0.004947","-3.438481","0.000000","0.000000","0.000000","100.000000","0.024580","-215.350800","-172.110153"
"3.100","4397.498","2025","85.667114","85.567184","0","0.027494","-0.000549","-0.010854","-3.429796","0.000000","0.000000","0.000000","100.000000","0.025936","-215.350800","-172.110199"
"3.200","4397.498","2025","85.687042","85.587112","0","0.000161","-0.000936","0.016290","-3.429728","0.000000","0.000000","0.000000","100.000000","-0.027033","-215.350784","-172.110229"
"3.300","4397.498","2025","85.706970","85.607040","0","0.038843","-0.002343","-0.015808","-3.424148","0.000000","0.000000","0.000000","100.000000","0.093685","-215.350784","-172.110260"
"3.400","4397.498","2025","85.726898","85.626968","0","0.000644","0.002467","-0.009559","-3.442231","0.000000","0.000000","0.000000","100.000000","-0.055644","-215.350784","-172.110260"
"3.500","4397.498","2025","85.746826","85.646896","0","0.000536","-0.001177","-0.010464","-3.435433","0.000000","0.000000","0.000000","100.000000","-0.062707","-215.350800","-172.110229"
"3.600","4397.498","2025","85.766754","85.666824","0","0.000161","-0.004670","0.000474","-3.429915","0.000000","0.000000","0.000000","100.000000","-0.046133","-215.350800","-172.110229"
"3.700","4397.498","2025","85.786682","85.686752","0","0.038844","0.014035","0.000015","-3.438900","0.000000","0.000000","0.000000","100.000000","-0.034490","-215.350815","-172.110245"
"3.800","4397.498","2025","85.806610","85.706680","0","0.000107","-0.000993","0.009221","-3.432278","0.000000","0.000000","0.000000","100.000000","0.199361","-215.350800","-172.110245"
"3.900","4397.498","2025","85.826538","85.726608","0","0.000644","-0.001285","0.006179","-3.431368","0.000000","0.000000","0.000000","100.000000","0.089513","-215.350815","-172.110214"
"4.000","4397.498","2025","85.846458","85.746544","0","0.027466","0.004556","-0.006817","-3.433768","0.000000","0.000000","0.000000","100.000000","0.049087","-215.350830","-172.110214"
"4.100","4397.498","2025","85.866386","85.766472","0","0.002575","-0.002459","-0.011155","-3.432612","0.000000","0.000000","0.000000","100.000000","0.002402","-215.350830","-172.110214"
"4.200","4397.498","2025","85.886314","85.786400","0","0.000644","-0.003765","0.004696","-3.426467","0.000000","0.000000","0.000000","100.000000","0.195358","-215.350830","-172.110229"
"4.300","4397.498","2025","85.906242","85.806328","0","0.000858","-0.000953","-0.003299","-3.430772","0.000000","0.000000","0.000000","100.000000","-0.024566","-215.350815","-172.110245"
"4.400","4397.498","2025","85.926170","85.826256","0","0.027469","-0.004780","-0.019883","-3.421887","0.000000","0.000000","0.000000","100.000000","-0.010799","-215.350815","-172.110229"
"4.500","4397.498","2025","85.946098","85.846184","0","0.004077","-0.004694","0.004836","-3.423232","0.000000","0.000000","0.000000","100.000000","-0.050636","-215.350815","-172.110245"
"4.600","4397.498","2025","85.966019","85.866112","0","0.002736","-0.006635","-0.005444","-3.428624","0.000000","0.000000","0.000000","100.000000","-0.003201","-215.350815","-172.110245"
"4.700","4397.498","2025","85.985947","85.886032","0","0.000215","0.007475","0.002115","-3.429608","0.000000","0.000000","0.000000","100.000000","0.074020","-215.350830","-172.110229"
"4.800","4397.498","2025","86.005875","85.905960","0","0.000751","0.005041","-0.013456","-3.428277","0.000000","0.000000","0.000000","100.000000","0.116981","-215.350830","-172.110245"
"4.900","4397.498","2025","86.025795","85.925888","0","0.001019","0.004905","0.005619","-3.423234","0.000000","0.000000","0.000000","100.000000","0.062511","-215.350815","-172.110245"
"5.000","4397.498","2025","86.045723","85.945808","0","0.027660","0.004275","-0.001419","-3.416909","0.000000","0.000000","0.000000","100.000000","0.007005","-215.350830","-172.110245"
"5.101","4397.498","2025","86.066048","85.966141","0","0.000268","-0.001855","0.015678","-3.427241","0.000000","0.000000","0.000000","100.000000","0.146413","-215.350830","-172.110245"
"5.201","4397.498","2025","86.085968","85.986061","0","0.027466","0.005143","0.010794","-3.422848","0.000000","0.000000","0.000000","100.000000","-0.086127","-215.350830","-172.110275"
"5.301","4397.498","2025","86.105896","86.005989","0","0.002253","-0.006333","-0.007660","-3.426393","0.000000","0.000000","0.000000","100.000000","-0.028865","-215.350830","-172.110245"
"5.401","4397.498","2025","86.125816","86.025909","0","0.000268","-0.004714","-0.009095","-3.426852","0.000000","0.000000","0.000000","100.000000","-0.174422","-215.350830","-172.110260"
"5.501","4397.498","2025","86.145744","86.045837","0","0.000858","0.001335","-0.007969","-3.423730","0.000000","0.000000","0.000000","100.000000","-0.037194","-215.350830","-172.110229"
"5.601","4397.498","2025","86.165665","86.065765","0","0.002307","-0.003518","-0.005099","-3.414626","0.000000","0.000000","0.000000","100.000000","0.014212","-215.350830","-172.110245"
"5.701","4397.498","2025","86.185593","86.085686","0","0.002843","-0.004074","-0.004026","-3.417238","0.000000","0.000000","0.000000","100.000000","-0.079538","-215.350830","-172.110245"
"5.801","4397.498","2025","86.205513","86.105614","0","0.000858","-0.003354","-0.002354","-3.411047","0.000000","0.000000","0.000000","100.000000","0.099323","-215.350830","-172.110260"
"5.901","4397.498","2025","86.225433","86.125534","0","0.001717","-0.000515","-0.006150","-3.409533","0.000000","0.000000","0.000000","100.000000","-0.072692","-215.350830","-172.110260"
"6.001","4397.498","2025","86.245354","86.145462","0","0.000966","0.001187","-0.008552","-3.413944","0.000000","0.000000","0.000000","100.000000","0.010217","-215.350830","-172.110245"
